soi_name,master_comp_security_name,family_name,security_type,normalized_security_name,normalized_soi_name,normalized_family_name
"CI (Allied) Investment Holdings, LLC (PRA Events, Inc.)",APRA (Common),APRA,Common Equity,apra common,ci allied investment holdings pra events,apra
"CI (PTN) Investment Holdings II, LLC",PT Network (C. Eq.),,Common Equity,pt network c equity,ci ptn investment holdings ii,
"CI (PTN) Investment Holdings II, LLC(P)",PT Network (P. Eq.),,Preferred Equity,pt network p equity,ci ptn investment holdings ii llcp,
"CI (Summit) Investment Holdings, LLC (SFP Holding, Inc.)",Summit Companies (Common Equity),,Common Equity,summit companies common equity,ci summit investment holdings sfp holding,
"CRANE 1 SERVICES, INC.",Crane 1 (Term Loan),Crane 1,First Lien,crane 1 term loan,crane 1 services,crane 1
"CRANE 1 SERVICES, INC. - Unfunded Revolver",Crane 1 (Revolver),Crane 1,First Lien,crane 1 revolver,crane 1 services unfunded revolver,crane 1
"CRANE 1 SERVICES, INC. - Unfunded Term Loan",Crane 1 (DDTL),Crane 1,First Lien,crane 1 delayed draw term loan,crane 1 services unfunded term loan,crane 1
"Cadence Aerospace, LLC",Cadence Aerospace,Cadence Aerospace,First Lien,cadence aerospace,cadence aerospace,cadence aerospace
Cano Health,Cano Health (Term Loan),,First Lien,cano health term loan,cano health,
"Cano Health, LLC",Cano Health (Term Loan),,Common Equity,cano health term loan,cano health,
"Cano Health, LLC",Cano Health (Term Loan),,First Lien,cano health term loan,cano health,
"Capital Construction, LLC",Stronghouse Solutions (Term Loan),Stronghouse Solutions,First Lien,stronghouse solutions term loan,capital construction,stronghouse solutions
Cardenas Markets LLC,Cardenas,Cardenas,First Lien,cardenas,cardenas markets,cardenas
"Cardinal Logistics Holdings LLC
  (Intermediate Transportation 100, LLC)",Greatwide (Common),Greatwide,Common Equity,greatwide common,cardinal logistics holdings intermediate transportation 100,greatwide
Carnegie Dartlet LLC,Carnegie Dartlet (Term Loan),Carnegie Dartlet,First Lien,carnegie dartlet term loan,carnegie dartlet,carnegie dartlet
Carnegie Dartlet LLC ,Carnegie Dartlet (Term Loan),Carnegie Dartlet,First Lien,carnegie dartlet term loan,carnegie dartlet,carnegie dartlet
Carnegie Dartlet LLC ,Carnegie Dartlet (Revolver),Carnegie Dartlet,First Lien,carnegie dartlet revolver,carnegie dartlet,carnegie dartlet
Carnegie Dartlet LLC ,Carnegie Dartlet (DDTL),Carnegie Dartlet,First Lien,carnegie dartlet delayed draw term loan,carnegie dartlet,carnegie dartlet
"Carnegie HoldCo, LLC ",Carnegie Dartlet (Common Equity),Carnegie Dartlet,Common Equity,carnegie dartlet common equity,carnegie holdco,carnegie dartlet
