"soi_name","master_comp_security_name","family_name","security_type"
"Crane 1 Acquisition Parent Holdings, L.P.",Crane 1 (Common Equity),Crane 1,Common Equity
"Crane 1 Services, Inc. - Funded Revolver",Crane 1 (Revolver),Crane 1,First Lien
"DBI Holding, LLC - Series A-1 (All PIK)",DBI (Preferred),"",Preferred Equity
"DBI Holding, LLC - Series B",DBI (Common),"",Common Equity
"DBI Holding, LLC - Term Loan B (All PIK)",DBI (Term Loan B),"",Second Lien
"DBI Holding, LLC - Term Loan C (All PIK)",DBI (Term Loan C),"",Second Lien
"DG Investment Intermediate Holdings 2, Inc.",Convergint (TL),Convergint,First Lien
DRI Holding Inc.,Digital Room,Digital Room,First Lien
DRI Holding Inc.,Digital Room (Term Loan),Digital Room,First Lien
DRS Holdings III,Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien
"DRS Holdings III, Inc.",Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien
"DRS Holdings III, Inc. ",Dr. Scholl's (Term Loan),Dr. Scholl's,First Lien
"DRS Holdings III, Inc. - Funded Revolver",Dr. Scholl's (Revolver),Dr. Scholl's,First Lien
"DRS Holdings III, Inc. - Unfunded Revolver",Dr. Scholl's (Revolver),Dr. Scholl's,First Lien
DX Electric,DX Electric (Revolver),DX Electric,First Lien
"DX Electric Company, LLC",DX Electric (Common Equity),DX Electric,Common Equity
"DX Electric Company, LLC",DX Electric (Term Loan),DX Electric,First Lien
"DX Electric Company, LLC",DX Electric (Revolver),DX Electric,First Lien
"Data Axle, Inc.",Infogroup,Infogroup,Second Lien
Datalot Inc.,Datalot (TL),"",First Lien
Datalot Inc. - Funded Revolver,Datalot (Revolver),"",First Lien
Datalot Inc. - Unfunded Revolver,Datalot (Revolver),"",First Lien
DecoPac Holdings Inc.,DecoPac (Equity),"",Common Equity
"DecoPac, Inc.",DecoPac (Second Lien),"",Second Lien
"Deerfield Dakota Holding, LLC",Kroll (TL),Kroll,First Lien
Delta InvestCo LP,Sigma Defense (Equity),Sigma Defense,Common Equity
"Delta InvestCo LP (Sigma Defense Systems, LLC)",Sigma Defense (Equity),Sigma Defense,Common Equity
"Delta InvestCo LP (Sigma Defense Systems, LLC) - Unfunded",Sigma Defense (Equity),Sigma Defense,Common Equity
Delta InvestCo LP - Unfunded,Sigma Defense (Equity),Sigma Defense,Common Equity
DermaRite Industries LLC,DermaRite,DermaRite,First Lien
Douglas Products and Packaging Company LLC,Douglas (Term Loan),Douglas,First Lien
Douglas Products and Packaging Company LLC - Funded Revolver,Douglas (Revolver),Douglas,First Lien
Douglas Products and Packaging Company LLC - Unfunded Revolver,Douglas (Revolver),Douglas,First Lien
Douglas Products and Packaging Company LLC(1st),Douglas (Term Loan),Douglas,First Lien
"Douglas Sewer Intermediate, LLC",Douglas (Term Loan),Douglas,First Lien
"Douglas Sewer Intermediate, LLC ",Douglas (Term Loan),Douglas,First Lien
"Douglas Sewer Intermediate, LLC - Unfunded Term Loan",Douglas (Term Loan),Douglas,First Lien
"Dr. Squatch, LLC",Dr. Squatch (Term Loan),Dr. Squatch,First Lien
"Dr. Squatch, LLC - Funded Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien
"Dr. Squatch, LLC - Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien
"Dr. Squatch, LLC - Term Loan",Dr. Squatch (Term Loan),Dr. Squatch,First Lien
"Dr. Squatch, LLC - Unfunded Revolver",Dr. Squatch (Revolver),Dr. Squatch,First Lien
"Dr. Squatch, LLC - Unfunded Term Loan",Dr. Squatch (DDTL),Dr. Squatch,First Lien
"Duggal Acquisition,  LLC",Duggal (Common Equity),Duggal Visual Solutions,Common Equity
"Duggal Acquisition,  LLC",Duggal (Term Loan),Duggal Visual Solutions,First Lien
"Duggal Acquisition,  LLC",Duggal (DDTL),Duggal Visual Solutions,First Lien
"Duggal Acquisition,  LLC",Duggal (Revolver),Duggal Visual Solutions,First Lien
